SelectedClassNumber,SelectedAcadTerm,Term,Course Code,Section,Description,Grading Basis,class1_day,class1_starttime,class1_venue,class2_day,class2_starttime,class2_venue,class3_day,class3_starttime,class3_venue,exam_startdate,exam_day,exam_starttime,OriginalTerm,StdTerm,key,isDropped,BossLink
1002,2110,2021-22 Session 1,MGMT715,G1,Operations Management,Graded, ,TBA,,,,,,,,,,,2021-22 Session 1,2110,MGMT715_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1002
1003,2110,2021-22 Session 1,LGST700A,G1,Legal Knowledge & Strategy for Senior Management,Graded, ,TBA,,,,,,,,,,,2021-22 Session 1,2110,LGST700A_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1003
1004,2110,2021-22 Session 1,STAT701A,G1,Research Methods and Multivariate Statistics,Graded, ,TBA,,,,,,,,,,,2021-22 Session 1,2110,STAT701A_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1004
1005,2110,2021-22 Session 1,ACCT666,G1,Financial Reporting in the IFRS World (Part I),Graded,"Thu, Fri, Sat, Sun",08:30,Meeting Rm 4-1,"Thu, Fri, Sat, Sun",12:30,Meeting Rm 4-1,,,,,,,2021-22 Session 1,2110,ACCT666_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1005
1007,2110,2021-22 Session 1,ACCT635,G1,Ethics and Social Responsibility,Graded,"Thu, Fri, Sat, Sun",16:00,Meeting Rm 4-1,,,,,,,,,,2021-22 Session 1,2110,ACCT635_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1007
1008,2110,2021-22 Session 1,ECON612,G1,Understanding the Global Economy and Financial Markets,Pass/Fail,"Thu, Fri, Sat, Sun",16:00,Meeting Rm 4-1,Sat,19:00,Meeting Rm 4-1,,,,,,,2021-22 Session 1,2110,ECON612_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1008
1009,2110,2021-22 Session 1,MGMT619,G1,Innovation and Growth Management,Graded, ,TBA,,,,,,,,,,,2021-22 Session 1,2110,MGMT619_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1009
1010,2110,2021-22 Session 1,FNCE692,G1,Financing Entrepreneurial Businesses,Graded, ,TBA,,,,,,,,,,,2021-22 Session 1,2110,FNCE692_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1010
1011,2110,2021-22 Session 1,MGMT6031,G1,Business Analytics,Graded, ,TBA,,,,,,,,,,,2021-22 Session 1,2110,MGMT6031_G1_2110,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1011
1012,2110,2021-22 August Term,ISFS614,G1,Digital Banking and Trends,Graded,Mon,19:00,SCIS1 Seminar Room 2-1,,,,,,,,,,2021-22 August Term,,ISFS614_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1012
1013,2110,2021-22 August Term,ISFS603,G1,Corporate Banking and Blockchain,Graded,Wed,19:00,SCIS1 Seminar Room 2-1,,,,,,,10-Nov-2021,Wed,19:30,2021-22 August Term,,ISFS603_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2110&SelectedClassNumber=1013
