acad_term_id,prediction_type,beats_percentage,multiplier,multiplier_type
AY202526T1,median,1,-7.223158838116129,empirical
AY202526T1,median,1,-5.574412044824553,theoretical
AY202526T1,median,2,-5.447860143848361,empirical
AY202526T1,median,2,-4.081440556721617,theoretical
AY202526T1,median,3,-4.332741045616053,empirical
AY202526T1,median,3,-3.3721428475911503,theoretical
AY202526T1,median,4,-3.694130176267424,empirical
AY202526T1,median,4,-2.927445013054935,theoretical
AY202526T1,median,5,-3.22788421511527,empirical
AY202526T1,median,5,-2.6110199469539306,theoretical
AY202526T1,median,6,-2.8890975683210693,empirical
AY202526T1,median,6,-2.368691485882742,theoretical
AY202526T1,median,7,-2.632455453133414,empirical
AY202526T1,median,7,-2.173932277140608,theoretical
AY202526T1,median,8,-2.4084198131850636,empirical
AY202526T1,median,8,-2.0119605569922174,theoretical
AY202526T1,median,9,-2.189731641986128,empirical
AY202526T1,median,9,-1.8737745909928365,theoretical
AY202526T1,median,10,-2.0089730463041704,empirical
AY202526T1,median,10,-1.7535240121391793,theoretical
AY202526T1,median,11,-1.8673935119484855,empirical
AY202526T1,median,11,-1.6472122370423132,theoretical
AY202526T1,median,12,-1.7623238830162284,empirical
AY202526T1,median,12,-1.5519991326566644,theoretical
AY202526T1,median,13,-1.657440723046275,empirical
AY202526T1,median,13,-1.4658006026138621,theoretical
AY202526T1,median,14,-1.5744925941165437,empirical
AY202526T1,median,14,-1.3870461050155845,theoretical
AY202526T1,median,15,-1.4694517390705593,empirical
AY202526T1,median,15,-1.3145252463965518,theoretical
AY202526T1,median,16,-1.382849298431334,empirical
AY202526T1,median,16,-1.2472871094651146,theoretical
AY202526T1,median,17,-1.306755114407925,empirical
AY202526T1,median,17,-1.184572097531091,theoretical
AY202526T1,median,18,-1.240608080295353,empirical
AY202526T1,median,18,-1.1257645386295274,theoretical
AY202526T1,median,19,-1.1748050574179065,empirical
AY202526T1,median,19,-1.0703589473935065,theoretical
AY202526T1,median,20,-1.1103843759862766,empirical
AY202526T1,median,20,-1.017935511030443,theoretical
AY202526T1,median,21,-1.052055587928061,empirical
AY202526T1,median,21,-0.9681419505785381,theoretical
AY202526T1,median,22,-0.9961120620145247,empirical
AY202526T1,median,22,-0.9206798797356779,theoretical
AY202526T1,median,23,-0.9307359558536444,empirical
AY202526T1,median,23,-0.875294395268276,theoretical
AY202526T1,median,24,-0.8803969208600629,empirical
AY202526T1,median,24,-0.83176602793399,theoretical
AY202526T1,median,25,-0.8313507812512965,empirical
AY202526T1,median,25,-0.7899044435133751,theoretical
AY202526T1,median,26,-0.7835550172510127,empirical
AY202526T1,median,26,-0.7495434590527715,theoretical
AY202526T1,median,27,-0.7326708077370453,empirical
AY202526T1,median,27,-0.7105370597497445,theoretical
AY202526T1,median,28,-0.6971115424457809,empirical
AY202526T1,median,28,-0.6727561857824106,theoretical
AY202526T1,median,29,-0.6603236251758589,empirical
